"","period","ratio","group","카테고리명","성별","검색기기","년도","월"
"1","2017-01-01",83.04782,30,"가구_인테리어","여자","mobile","2017","01"
"2","2017-02-01",69.57154,30,"가구_인테리어","여자","mobile","2017","02"
"3","2017-03-01",85.21921,30,"가구_인테리어","여자","mobile","2017","03"
"4","2017-04-01",73.77196,30,"가구_인테리어","여자","mobile","2017","04"
"5","2017-05-01",67.46805,30,"가구_인테리어","여자","mobile","2017","05"
"6","2017-06-01",60.69785,30,"가구_인테리어","여자","mobile","2017","06"
"7","2017-07-01",54.4974,30,"가구_인테리어","여자","mobile","2017","07"
"8","2017-08-01",53.94523,30,"가구_인테리어","여자","mobile","2017","08"
"9","2017-09-01",51.67829,30,"가구_인테리어","여자","mobile","2017","09"
"10","2017-10-01",69.06119,30,"가구_인테리어","여자","mobile","2017","10"
"11","2017-11-01",62.42828,30,"가구_인테리어","여자","mobile","2017","11"
"12","2017-12-01",70.0561,30,"가구_인테리어","여자","mobile","2017","12"
"13","2018-01-01",74.81505,30,"가구_인테리어","여자","mobile","2018","01"
"14","2018-02-01",63.62414,30,"가구_인테리어","여자","mobile","2018","02"
"15","2018-03-01",72.58397,30,"가구_인테리어","여자","mobile","2018","03"
"16","2018-04-01",62.08459,30,"가구_인테리어","여자","mobile","2018","04"
"17","2018-05-01",60.45844,30,"가구_인테리어","여자","mobile","2018","05"
"18","2018-06-01",58.52104,30,"가구_인테리어","여자","mobile","2018","06"
"19","2018-07-01",57.75675,30,"가구_인테리어","여자","mobile","2018","07"
"20","2018-08-01",59.24264,30,"가구_인테리어","여자","mobile","2018","08"
"21","2018-09-01",58.96021,30,"가구_인테리어","여자","mobile","2018","09"
"22","2018-10-01",69.96854,30,"가구_인테리어","여자","mobile","2018","10"
"23","2018-11-01",67.56151,30,"가구_인테리어","여자","mobile","2018","11"
"24","2018-12-01",71.01564,30,"가구_인테리어","여자","mobile","2018","12"
"25","2019-01-01",66.58228,30,"가구_인테리어","여자","mobile","2019","01"
"26","2019-02-01",57.67674,30,"가구_인테리어","여자","mobile","2019","02"
"27","2019-03-01",59.94873,30,"가구_인테리어","여자","mobile","2019","03"
"28","2019-04-01",50.39722,30,"가구_인테리어","여자","mobile","2019","04"
"29","2019-05-01",53.44883,30,"가구_인테리어","여자","mobile","2019","05"
"30","2019-06-01",56.34423,30,"가구_인테리어","여자","mobile","2019","06"
"31","2019-07-01",61.0161,30,"가구_인테리어","여자","mobile","2019","07"
"32","2019-08-01",64.54005,30,"가구_인테리어","여자","mobile","2019","08"
"33","2019-09-01",66.24213,30,"가구_인테리어","여자","mobile","2019","09"
"34","2019-10-01",70.87589,30,"가구_인테리어","여자","mobile","2019","10"
"35","2019-11-01",72.69474,30,"가구_인테리어","여자","mobile","2019","11"
"36","2019-12-01",71.97518,30,"가구_인테리어","여자","mobile","2019","12"
"37","2020-01-01",64.26349,30,"가구_인테리어","여자","mobile","2020","01"
"38","2020-02-01",74.85482,30,"가구_인테리어","여자","mobile","2020","02"
"39","2020-03-01",95.87542,30,"가구_인테리어","여자","mobile","2020","03"
"40","2020-04-01",87.80955,30,"가구_인테리어","여자","mobile","2020","04"
"41","2020-05-01",81.17461,30,"가구_인테리어","여자","mobile","2020","05"
"42","2020-06-01",73.35787,30,"가구_인테리어","여자","mobile","2020","06"
"43","2020-07-01",69.28509,30,"가구_인테리어","여자","mobile","2020","07"
"44","2020-08-01",76.14441,30,"가구_인테리어","여자","mobile","2020","08"
"45","2020-09-01",82.85652,30,"가구_인테리어","여자","mobile","2020","09"
"46","2020-10-01",78.57859,30,"가구_인테리어","여자","mobile","2020","10"
"47","2020-11-01",78.40907,30,"가구_인테리어","여자","mobile","2020","11"
"48","2020-12-01",100,30,"가구_인테리어","여자","mobile","2020","12"
"49","2017-01-01",61.44523,30,"가구_인테리어","남자","pc","2017","01"
"50","2017-02-01",40.45466,30,"가구_인테리어","남자","pc","2017","02"
"51","2017-03-01",60.2246,30,"가구_인테리어","남자","pc","2017","03"
"52","2017-04-01",68.66154,30,"가구_인테리어","남자","pc","2017","04"
"53","2017-05-01",68.12617,30,"가구_인테리어","남자","pc","2017","05"
"54","2017-06-01",57.03133,30,"가구_인테리어","남자","pc","2017","06"
"55","2017-07-01",64.59593,30,"가구_인테리어","남자","pc","2017","07"
"56","2017-08-01",74.14277,30,"가구_인테리어","남자","pc","2017","08"
"57","2017-09-01",59.66799,30,"가구_인테리어","남자","pc","2017","09"
"58","2017-10-01",106.66841,30,"가구_인테리어","남자","pc","2017","10"
"59","2017-11-01",80.78626,30,"가구_인테리어","남자","pc","2017","11"
"60","2017-12-01",75.84798,30,"가구_인테리어","남자","pc","2017","12"
"61","2018-01-01",76.17206,30,"가구_인테리어","남자","pc","2018","01"
"62","2018-02-01",63.77183,30,"가구_인테리어","남자","pc","2018","02"
"63","2018-03-01",80.1123,30,"가구_인테리어","남자","pc","2018","03"
"64","2018-04-01",73.58831,30,"가구_인테리어","남자","pc","2018","04"
"65","2018-05-01",71.50937,30,"가구_인테리어","남자","pc","2018","05"
"66","2018-06-01",65.16521,30,"가구_인테리어","남자","pc","2018","06"
"67","2018-07-01",71.92643,30,"가구_인테리어","남자","pc","2018","07"
"68","2018-08-01",72.3782,30,"가구_인테리어","남자","pc","2018","08"
"69","2018-09-01",64.65351,30,"가구_인테리어","남자","pc","2018","09"
"70","2018-10-01",92.85042,30,"가구_인테리어","남자","pc","2018","10"
"71","2018-11-01",79.64867,30,"가구_인테리어","남자","pc","2018","11"
"72","2018-12-01",76.26891,30,"가구_인테리어","남자","pc","2018","12"
"73","2019-01-01",90.89889,30,"가구_인테리어","남자","pc","2019","01"
"74","2019-02-01",87.089,30,"가구_인테리어","남자","pc","2019","02"
"75","2019-03-01",100,30,"가구_인테리어","남자","pc","2019","03"
"76","2019-04-01",78.51508,30,"가구_인테리어","남자","pc","2019","04"
"77","2019-05-01",74.89257,30,"가구_인테리어","남자","pc","2019","05"
"78","2019-06-01",73.29909,30,"가구_인테리어","남자","pc","2019","06"
"79","2019-07-01",79.25693,30,"가구_인테리어","남자","pc","2019","07"
"80","2019-08-01",70.61363,30,"가구_인테리어","남자","pc","2019","08"
"81","2019-09-01",69.63903,30,"가구_인테리어","남자","pc","2019","09"
"82","2019-10-01",79.03243,30,"가구_인테리어","남자","pc","2019","10"
"83","2019-11-01",78.51108,30,"가구_인테리어","남자","pc","2019","11"
"84","2019-12-01",76.68984,30,"가구_인테리어","남자","pc","2019","12"
"85","2020-01-01",69.96912,30,"가구_인테리어","남자","pc","2020","01"
"86","2020-02-01",76.1704,30,"가구_인테리어","남자","pc","2020","02"
"87","2020-03-01",92.35298,30,"가구_인테리어","남자","pc","2020","03"
"88","2020-04-01",91.18381,30,"가구_인테리어","남자","pc","2020","04"
"89","2020-05-01",87.06386,30,"가구_인테리어","남자","pc","2020","05"
"90","2020-06-01",80.0589,30,"가구_인테리어","남자","pc","2020","06"
"91","2020-07-01",76.20838,30,"가구_인테리어","남자","pc","2020","07"
"92","2020-08-01",74.47791,30,"가구_인테리어","남자","pc","2020","08"
"93","2020-09-01",80.79067,30,"가구_인테리어","남자","pc","2020","09"
"94","2020-10-01",79.1508,30,"가구_인테리어","남자","pc","2020","10"
"95","2020-11-01",84.05568,30,"가구_인테리어","남자","pc","2020","11"
"96","2020-12-01",99.19705,30,"가구_인테리어","남자","pc","2020","12"
"97","2017-01-01",64.09385,30,"디지털_가전","여자","mobile","2017","01"
"98","2017-02-01",56.10185,30,"디지털_가전","여자","mobile","2017","02"
"99","2017-03-01",60.89875,30,"디지털_가전","여자","mobile","2017","03"
"100","2017-04-01",65.20184,30,"디지털_가전","여자","mobile","2017","04"
"101","2017-05-01",62.6813,30,"디지털_가전","여자","mobile","2017","05"
"102","2017-06-01",54.88444,30,"디지털_가전","여자","mobile","2017","06"
"103","2017-07-01",64.83435,30,"디지털_가전","여자","mobile","2017","07"
"104","2017-08-01",48.11027,30,"디지털_가전","여자","mobile","2017","08"
"105","2017-09-01",36.01464,30,"디지털_가전","여자","mobile","2017","09"
"106","2017-10-01",49.27553,30,"디지털_가전","여자","mobile","2017","10"
"107","2017-11-01",53.32393,30,"디지털_가전","여자","mobile","2017","11"
"108","2017-12-01",54.69663,30,"디지털_가전","여자","mobile","2017","12"
"109","2018-01-01",62.05204,30,"디지털_가전","여자","mobile","2018","01"
"110","2018-02-01",53.67871,30,"디지털_가전","여자","mobile","2018","02"
"111","2018-03-01",60.93067,30,"디지털_가전","여자","mobile","2018","03"
"112","2018-04-01",55.93792,30,"디지털_가전","여자","mobile","2018","04"
"113","2018-05-01",57.88207,30,"디지털_가전","여자","mobile","2018","05"
"114","2018-06-01",53.74915,30,"디지털_가전","여자","mobile","2018","06"
"115","2018-07-01",61.88166,30,"디지털_가전","여자","mobile","2018","07"
"116","2018-08-01",53.44224,30,"디지털_가전","여자","mobile","2018","08"
"117","2018-09-01",46.4984,30,"디지털_가전","여자","mobile","2018","09"
"118","2018-10-01",54.68427,30,"디지털_가전","여자","mobile","2018","10"
"119","2018-11-01",58.33691,30,"디지털_가전","여자","mobile","2018","11"
"120","2018-12-01",58.26273,30,"디지털_가전","여자","mobile","2018","12"
