"","period","카테고리명","검색기기","년도","월","ratio"
"1","2017-01-01","가구_인테리어","mobile","2017","01",54.94914
"2","2017-02-01","가구_인테리어","mobile","2017","02",45.764335
"3","2017-03-01","가구_인테리어","mobile","2017","03",60.521495
"4","2017-04-01","가구_인테리어","mobile","2017","04",53.177865
"5","2017-05-01","가구_인테리어","mobile","2017","05",48.37231
"6","2017-06-01","가구_인테리어","mobile","2017","06",43.43506
"7","2017-07-01","가구_인테리어","mobile","2017","07",37.505585
"8","2017-08-01","가구_인테리어","mobile","2017","08",35.96055
"9","2017-09-01","가구_인테리어","mobile","2017","09",34.17336
"10","2017-10-01","가구_인테리어","mobile","2017","10",46.224765
"11","2017-11-01","가구_인테리어","mobile","2017","11",39.96839
"12","2017-12-01","가구_인테리어","mobile","2017","12",46.86353
"13","2018-01-01","가구_인테리어","mobile","2018","01",56.188505
"14","2018-02-01","가구_인테리어","mobile","2018","02",48.745275
"15","2018-03-01","가구_인테리어","mobile","2018","03",56.73098
"16","2018-04-01","가구_인테리어","mobile","2018","04",48.629135
"17","2018-05-01","가구_인테리어","mobile","2018","05",47.56145
"18","2018-06-01","가구_인테리어","mobile","2018","06",46.67543
"19","2018-07-01","가구_인테리어","mobile","2018","07",45.49929
"20","2018-08-01","가구_인테리어","mobile","2018","08",46.834855
"21","2018-09-01","가구_인테리어","mobile","2018","09",46.79513
"22","2018-10-01","가구_인테리어","mobile","2018","10",54.955765
"23","2018-11-01","가구_인테리어","mobile","2018","11",52.12807
"24","2018-12-01","가구_인테리어","mobile","2018","12",55.13288
"25","2019-01-01","가구_인테리어","mobile","2019","01",57.42787
"26","2019-02-01","가구_인테리어","mobile","2019","02",51.726215
"27","2019-03-01","가구_인테리어","mobile","2019","03",52.940465
"28","2019-04-01","가구_인테리어","mobile","2019","04",44.080405
"29","2019-05-01","가구_인테리어","mobile","2019","05",46.75059
"30","2019-06-01","가구_인테리어","mobile","2019","06",49.9158
"31","2019-07-01","가구_인테리어","mobile","2019","07",53.492995
"32","2019-08-01","가구_인테리어","mobile","2019","08",57.70916
"33","2019-09-01","가구_인테리어","mobile","2019","09",59.4169
"34","2019-10-01","가구_인테리어","mobile","2019","10",63.686765
"35","2019-11-01","가구_인테리어","mobile","2019","11",64.28775
"36","2019-12-01","가구_인테리어","mobile","2019","12",63.40223
"37","2020-01-01","가구_인테리어","mobile","2020","01",60.605625
"38","2020-02-01","가구_인테리어","mobile","2020","02",71.007735
"39","2020-03-01","가구_인테리어","mobile","2020","03",90.780755
"40","2020-04-01","가구_인테리어","mobile","2020","04",85.352895
"41","2020-05-01","가구_인테리어","mobile","2020","05",80.49187
"42","2020-06-01","가구_인테리어","mobile","2020","06",72.42714
"43","2020-07-01","가구_인테리어","mobile","2020","07",68.047315
"44","2020-08-01","가구_인테리어","mobile","2020","08",74.148505
"45","2020-09-01","가구_인테리어","mobile","2020","09",80.871565
"46","2020-10-01","가구_인테리어","mobile","2020","10",77.09725
"47","2020-11-01","가구_인테리어","mobile","2020","11",74.8545
"48","2020-12-01","가구_인테리어","mobile","2020","12",93.509565
"49","2017-01-01","가구_인테리어","pc","2017","01",50.11345
"50","2017-02-01","가구_인테리어","pc","2017","02",34.88895
"51","2017-03-01","가구_인테리어","pc","2017","03",52.138785
"52","2017-04-01","가구_인테리어","pc","2017","04",52.636445
"53","2017-05-01","가구_인테리어","pc","2017","05",52.14397
"54","2017-06-01","가구_인테리어","pc","2017","06",43.03643
"55","2017-07-01","가구_인테리어","pc","2017","07",47.45666
"56","2017-08-01","가구_인테리어","pc","2017","08",56.02636
"57","2017-09-01","가구_인테리어","pc","2017","09",45.138375
"58","2017-10-01","가구_인테리어","pc","2017","10",76.879685
"59","2017-11-01","가구_인테리어","pc","2017","11",60.48873
"60","2017-12-01","가구_인테리어","pc","2017","12",56.97075
"61","2018-01-01","가구_인테리어","pc","2018","01",63.02202
"62","2018-02-01","가구_인테리어","pc","2018","02",52.776995
"63","2018-03-01","가구_인테리어","pc","2018","03",67.138615
"64","2018-04-01","가구_인테리어","pc","2018","04",60.88633
"65","2018-05-01","가구_인테리어","pc","2018","05",59.329965
"66","2018-06-01","가구_인테리어","pc","2018","06",54.269105
"67","2018-07-01","가구_인테리어","pc","2018","07",59.119755
"68","2018-08-01","가구_인테리어","pc","2018","08",59.65969
"69","2018-09-01","가구_인테리어","pc","2018","09",53.824395
"70","2018-10-01","가구_인테리어","pc","2018","10",74.047615
"71","2018-11-01","가구_인테리어","pc","2018","11",65.505345
"72","2018-12-01","가구_인테리어","pc","2018","12",62.5868
"73","2019-01-01","가구_인테리어","pc","2019","01",75.93059
"74","2019-02-01","가구_인테리어","pc","2019","02",70.66504
"75","2019-03-01","가구_인테리어","pc","2019","03",82.138445
"76","2019-04-01","가구_인테리어","pc","2019","04",69.136215
"77","2019-05-01","가구_인테리어","pc","2019","05",66.51596
"78","2019-06-01","가구_인테리어","pc","2019","06",65.50178
"79","2019-07-01","가구_인테리어","pc","2019","07",70.78285
"80","2019-08-01","가구_인테리어","pc","2019","08",63.29302
"81","2019-09-01","가구_인테리어","pc","2019","09",62.510415
"82","2019-10-01","가구_인테리어","pc","2019","10",71.215545
"83","2019-11-01","가구_인테리어","pc","2019","11",70.52196
"84","2019-12-01","가구_인테리어","pc","2019","12",68.20285
"85","2020-01-01","가구_인테리어","pc","2020","01",64.204805
"86","2020-02-01","가구_인테리어","pc","2020","02",71.209585
"87","2020-03-01","가구_인테리어","pc","2020","03",85.43449
"88","2020-04-01","가구_인테리어","pc","2020","04",85.63223
"89","2020-05-01","가구_인테리어","pc","2020","05",82.59643
"90","2020-06-01","가구_인테리어","pc","2020","06",76.63579
"91","2020-07-01","가구_인테리어","pc","2020","07",72.47875
"92","2020-08-01","가구_인테리어","pc","2020","08",70.14535
"93","2020-09-01","가구_인테리어","pc","2020","09",76.15162
"94","2020-10-01","가구_인테리어","pc","2020","10",75.422335
"95","2020-11-01","가구_인테리어","pc","2020","11",79.61403
"96","2020-12-01","가구_인테리어","pc","2020","12",91.471
"97","2017-01-01","디지털_가전","mobile","2017","01",53.707525
"98","2017-02-01","디지털_가전","mobile","2017","02",47.344875
"99","2017-03-01","디지털_가전","mobile","2017","03",50.99357
"100","2017-04-01","디지털_가전","mobile","2017","04",51.48255
"101","2017-05-01","디지털_가전","mobile","2017","05",51.82097
"102","2017-06-01","디지털_가전","mobile","2017","06",44.98614
"103","2017-07-01","디지털_가전","mobile","2017","07",54.20461
"104","2017-08-01","디지털_가전","mobile","2017","08",40.3412
"105","2017-09-01","디지털_가전","mobile","2017","09",31.199495
"106","2017-10-01","디지털_가전","mobile","2017","10",42.04952
"107","2017-11-01","디지털_가전","mobile","2017","11",45.326415
"108","2017-12-01","디지털_가전","mobile","2017","12",47.54345
"109","2018-01-01","디지털_가전","mobile","2018","01",51.888335
"110","2018-02-01","디지털_가전","mobile","2018","02",46.082315
"111","2018-03-01","디지털_가전","mobile","2018","03",51.058575
"112","2018-04-01","디지털_가전","mobile","2018","04",46.18731
"113","2018-05-01","디지털_가전","mobile","2018","05",48.24292
"114","2018-06-01","디지털_가전","mobile","2018","06",45.039895
"115","2018-07-01","디지털_가전","mobile","2018","07",52.353995
"116","2018-08-01","디지털_가전","mobile","2018","08",46.192185
"117","2018-09-01","디지털_가전","mobile","2018","09",41.350065
"118","2018-10-01","디지털_가전","mobile","2018","10",47.04251
"119","2018-11-01","디지털_가전","mobile","2018","11",49.414645
"120","2018-12-01","디지털_가전","mobile","2018","12",49.901405
"121","2019-01-01","디지털_가전","mobile","2019","01",50.069145
"122","2019-02-01","디지털_가전","mobile","2019","02",44.819755
"123","2019-03-01","디지털_가전","mobile","2019","03",51.12358
"124","2019-04-01","디지털_가전","mobile","2019","04",40.89207
"125","2019-05-01","디지털_가전","mobile","2019","05",44.66487
"126","2019-06-01","디지털_가전","mobile","2019","06",45.09365
"127","2019-07-01","디지털_가전","mobile","2019","07",50.50338
"128","2019-08-01","디지털_가전","mobile","2019","08",52.04317
"129","2019-09-01","디지털_가전","mobile","2019","09",51.500635
"130","2019-10-01","디지털_가전","mobile","2019","10",52.0355
"131","2019-11-01","디지털_가전","mobile","2019","11",53.502875
"132","2019-12-01","디지털_가전","mobile","2019","12",52.25936
"133","2020-01-01","디지털_가전","mobile","2020","01",51.405985
"134","2020-02-01","디지털_가전","mobile","2020","02",58.59861
"135","2020-03-01","디지털_가전","mobile","2020","03",75.3198
"136","2020-04-01","디지털_가전","mobile","2020","04",66.784375
"137","2020-05-01","디지털_가전","mobile","2020","05",64.527385
"138","2020-06-01","디지털_가전","mobile","2020","06",60.922395
"139","2020-07-01","디지털_가전","mobile","2020","07",56.25597
"140","2020-08-01","디지털_가전","mobile","2020","08",67.46021
"141","2020-09-01","디지털_가전","mobile","2020","09",61.645045
"142","2020-10-01","디지털_가전","mobile","2020","10",61.94942
"143","2020-11-01","디지털_가전","mobile","2020","11",63.556475
"144","2020-12-01","디지털_가전","mobile","2020","12",80.591735
"145","2017-01-01","디지털_가전","pc","2017","01",19.574625
"146","2017-02-01","디지털_가전","pc","2017","02",16.59535
"147","2017-03-01","디지털_가전","pc","2017","03",21.18093
"148","2017-04-01","디지털_가전","pc","2017","04",24.00267
"149","2017-05-01","디지털_가전","pc","2017","05",26.69342
"150","2017-06-01","디지털_가전","pc","2017","06",18.945575
"151","2017-07-01","디지털_가전","pc","2017","07",28.73583
"152","2017-08-01","디지털_가전","pc","2017","08",32.014965
"153","2017-09-01","디지털_가전","pc","2017","09",42.50116
"154","2017-10-01","디지털_가전","pc","2017","10",67.4895
"155","2017-11-01","디지털_가전","pc","2017","11",88.960735
"156","2017-12-01","디지털_가전","pc","2017","12",88.493155
"157","2018-01-01","디지털_가전","pc","2018","01",35.813195
"158","2018-02-01","디지털_가전","pc","2018","02",28.59072
"159","2018-03-01","디지털_가전","pc","2018","03",34.19768
"160","2018-04-01","디지털_가전","pc","2018","04",31.79438
"161","2018-05-01","디지털_가전","pc","2018","05",31.97279
"162","2018-06-01","디지털_가전","pc","2018","06",29.2256
"163","2018-07-01","디지털_가전","pc","2018","07",34.417415
"164","2018-08-01","디지털_가전","pc","2018","08",34.096895
"165","2018-09-01","디지털_가전","pc","2018","09",38.425145
"166","2018-10-01","디지털_가전","pc","2018","10",52.21332
"167","2018-11-01","디지털_가전","pc","2018","11",63.194165
"168","2018-12-01","디지털_가전","pc","2018","12",62.165035
"169","2019-01-01","디지털_가전","pc","2019","01",52.051765
"170","2019-02-01","디지털_가전","pc","2019","02",40.58609
"171","2019-03-01","디지털_가전","pc","2019","03",47.21443
"172","2019-04-01","디지털_가전","pc","2019","04",39.58609
"173","2019-05-01","디지털_가전","pc","2019","05",37.25216
"174","2019-06-01","디지털_가전","pc","2019","06",39.505625
"175","2019-07-01","디지털_가전","pc","2019","07",40.099
"176","2019-08-01","디지털_가전","pc","2019","08",36.178825
"177","2019-09-01","디지털_가전","pc","2019","09",34.34913
