"","period","선호_성별_검색추이","성별","카테고리명","검색기기","년도","월"
"1","2017-01-01",58.46869,"f","가구_인테리어","모바일","2017","1"
"2","2017-01-01",52.36797,"m","가구_인테리어","인터넷","2017","1"
"3","2017-01-01",52.96893,"f","디지털_가전","모바일","2017","1"
"4","2017-01-01",47.85197,"m","디지털_가전","인터넷","2017","1"
"5","2017-01-01",54.48265,"m","생활_건강","모바일","2017","1"
"6","2017-01-01",65.34934,"m","생활_건강","인터넷","2017","1"
"7","2017-01-01",38.1932,"m","스포츠_레져","모바일","2017","1"
"8","2017-01-01",41.14209,"m","스포츠_레져","인터넷","2017","1"
"9","2017-01-01",31.65749,"f","식품","모바일","2017","1"
"10","2017-01-01",34.75503,"m","식품","인터넷","2017","1"
"11","2017-01-01",53.44154,"f","출산_육아","모바일","2017","1"
"12","2017-01-01",62.01521,"f","출산_육아","인터넷","2017","1"
"13","2017-01-01",72.40807,"f","패션잡화","모바일","2017","1"
"14","2017-01-01",74.09306,"m","패션잡화","인터넷","2017","1"
"15","2017-01-01",63.05094,"f","화장품_미용","모바일","2017","1"
"16","2017-01-01",87.01374,"f","화장품_미용","인터넷","2017","1"
"17","2017-02-01",50.16908,"f","가구_인테리어","모바일","2017","2"
"18","2017-02-01",39.51219,"m","가구_인테리어","인터넷","2017","2"
"19","2017-02-01",47.72281,"f","디지털_가전","모바일","2017","2"
"20","2017-02-01",40.32925,"m","디지털_가전","인터넷","2017","2"
"21","2017-02-01",49.02885,"m","생활_건강","모바일","2017","2"
"22","2017-02-01",55.55708,"m","생활_건강","인터넷","2017","2"
"23","2017-02-01",31.44294,"m","스포츠_레져","모바일","2017","2"
"24","2017-02-01",30.40689,"m","스포츠_레져","인터넷","2017","2"
"25","2017-02-01",35.14947,"f","식품","모바일","2017","2"
"26","2017-02-01",39.61826,"m","식품","인터넷","2017","2"
"27","2017-02-01",46.82037,"f","출산_육아","모바일","2017","2"
"28","2017-02-01",50.4919,"f","출산_육아","인터넷","2017","2"
"29","2017-02-01",67.22985,"f","패션잡화","모바일","2017","2"
"30","2017-02-01",63.8909,"m","패션잡화","인터넷","2017","2"
"31","2017-02-01",59.93839,"f","화장품_미용","모바일","2017","2"
"32","2017-02-01",75.38106,"f","화장품_미용","인터넷","2017","2"
"33","2017-03-01",63.69874,"f","가구_인테리어","모바일","2017","3"
"34","2017-03-01",56.73294,"m","가구_인테리어","인터넷","2017","3"
"35","2017-03-01",49.89777,"f","디지털_가전","모바일","2017","3"
"36","2017-03-01",47.99228,"m","디지털_가전","인터넷","2017","3"
"37","2017-03-01",54.63,"m","생활_건강","모바일","2017","3"
"38","2017-03-01",60.39079,"m","생활_건강","인터넷","2017","3"
"39","2017-03-01",42.64269,"m","스포츠_레져","모바일","2017","3"
"40","2017-03-01",45.19386,"m","스포츠_레져","인터넷","2017","3"
"41","2017-03-01",28.25391,"f","식품","모바일","2017","3"
"42","2017-03-01",32.04384,"m","식품","인터넷","2017","3"
"43","2017-03-01",47.38105,"f","출산_육아","모바일","2017","3"
"44","2017-03-01",48.8347,"f","출산_육아","인터넷","2017","3"
"45","2017-03-01",79.96312,"f","패션잡화","모바일","2017","3"
"46","2017-03-01",75.89144,"m","패션잡화","인터넷","2017","3"
"47","2017-03-01",58.83525,"f","화장품_미용","모바일","2017","3"
"48","2017-03-01",77.24243,"f","화장품_미용","인터넷","2017","3"
"49","2017-04-01",55.49322,"f","가구_인테리어","모바일","2017","4"
"50","2017-04-01",56.96774,"m","가구_인테리어","인터넷","2017","4"
"51","2017-04-01",52.68851,"f","디지털_가전","모바일","2017","4"
"52","2017-04-01",51.21382,"m","디지털_가전","인터넷","2017","4"
"53","2017-04-01",61.56703,"m","생활_건강","모바일","2017","4"
"54","2017-04-01",69.40531,"m","생활_건강","인터넷","2017","4"
"55","2017-04-01",43.13305,"m","스포츠_레져","모바일","2017","4"
"56","2017-04-01",47.24566,"m","스포츠_레져","인터넷","2017","4"
"57","2017-04-01",32.5775,"f","식품","모바일","2017","4"
"58","2017-04-01",30.31059,"m","식품","인터넷","2017","4"
"59","2017-04-01",41.61616,"f","출산_육아","모바일","2017","4"
"60","2017-04-01",43.44721,"f","출산_육아","인터넷","2017","4"
"61","2017-04-01",69.08307,"f","패션잡화","모바일","2017","4"
"62","2017-04-01",69.39836,"m","패션잡화","인터넷","2017","4"
"63","2017-04-01",61.93054,"f","화장품_미용","모바일","2017","4"
"64","2017-04-01",79.15586,"f","화장품_미용","인터넷","2017","4"
"65","2017-05-01",51.17599,"f","가구_인테리어","모바일","2017","5"
"66","2017-05-01",55.35336,"m","가구_인테리어","인터넷","2017","5"
"67","2017-05-01",52.35636,"f","디지털_가전","모바일","2017","5"
"68","2017-05-01",54.69474,"m","디지털_가전","인터넷","2017","5"
"69","2017-05-01",54.09914,"m","생활_건강","모바일","2017","5"
"70","2017-05-01",56.26258,"m","생활_건강","인터넷","2017","5"
"71","2017-05-01",46.56379,"m","스포츠_레져","모바일","2017","5"
"72","2017-05-01",49.89833,"m","스포츠_레져","인터넷","2017","5"
"73","2017-05-01",30.67697,"f","식품","모바일","2017","5"
"74","2017-05-01",35.81466,"m","식품","인터넷","2017","5"
"75","2017-05-01",38.45695,"f","출산_육아","모바일","2017","5"
"76","2017-05-01",40.90131,"f","출산_육아","인터넷","2017","5"
"77","2017-05-01",64.32628,"f","패션잡화","모바일","2017","5"
"78","2017-05-01",65.61029,"m","패션잡화","인터넷","2017","5"
"79","2017-05-01",57.8249,"f","화장품_미용","모바일","2017","5"
"80","2017-05-01",73.65539,"f","화장품_미용","인터넷","2017","5"
"81","2017-06-01",45.5117,"f","가구_인테리어","모바일","2017","6"
"82","2017-06-01",45.71163,"m","가구_인테리어","인터넷","2017","6"
"83","2017-06-01",46.14489,"f","디지털_가전","모바일","2017","6"
"84","2017-06-01",42.44373,"m","디지털_가전","인터넷","2017","6"
"85","2017-06-01",41.53976,"m","생활_건강","모바일","2017","6"
"86","2017-06-01",50.33985,"m","생활_건강","인터넷","2017","6"
"87","2017-06-01",44.47551,"m","스포츠_레져","모바일","2017","6"
"88","2017-06-01",48.63197,"m","스포츠_레져","인터넷","2017","6"
"89","2017-06-01",24.7368,"f","식품","모바일","2017","6"
"90","2017-06-01",28.59917,"m","식품","인터넷","2017","6"
"91","2017-06-01",36.44823,"f","출산_육아","모바일","2017","6"
"92","2017-06-01",39.9502,"f","출산_육아","인터넷","2017","6"
"93","2017-06-01",65.75329,"f","패션잡화","모바일","2017","6"
"94","2017-06-01",66.48124,"m","패션잡화","인터넷","2017","6"
"95","2017-06-01",48.96941,"f","화장품_미용","모바일","2017","6"
"96","2017-06-01",61.67032,"f","화장품_미용","인터넷","2017","6"
"97","2017-07-01",40.08591,"f","가구_인테리어","모바일","2017","7"
"98","2017-07-01",51.09345,"m","가구_인테리어","인터넷","2017","7"
"99","2017-07-01",56.07576,"f","디지털_가전","모바일","2017","7"
"100","2017-07-01",59.84406,"m","디지털_가전","인터넷","2017","7"
"101","2017-07-01",43.8523,"m","생활_건강","모바일","2017","7"
"102","2017-07-01",37.65064,"m","생활_건강","인터넷","2017","7"
"103","2017-07-01",43.27714,"m","스포츠_레져","모바일","2017","7"
"104","2017-07-01",52.96924,"m","스포츠_레져","인터넷","2017","7"
"105","2017-07-01",24.22203,"f","식품","모바일","2017","7"
"106","2017-07-01",33.21501,"m","식품","인터넷","2017","7"
"107","2017-07-01",33.95641,"f","출산_육아","모바일","2017","7"
"108","2017-07-01",40.24918,"f","출산_육아","인터넷","2017","7"
"109","2017-07-01",54.30222,"f","패션잡화","모바일","2017","7"
"110","2017-07-01",72.49801,"m","패션잡화","인터넷","2017","7"
"111","2017-07-01",43.72541,"f","화장품_미용","모바일","2017","7"
"112","2017-07-01",56.73506,"f","화장품_미용","인터넷","2017","7"
"113","2017-08-01",38.71998,"f","가구_인테리어","모바일","2017","8"
"114","2017-08-01",60.12982,"m","가구_인테리어","인터넷","2017","8"
"115","2017-08-01",41.22332,"f","디지털_가전","모바일","2017","8"
"116","2017-08-01",63.73629,"m","디지털_가전","인터넷","2017","8"
"117","2017-08-01",45.85286,"m","생활_건강","모바일","2017","8"
"118","2017-08-01",47.52121,"m","생활_건강","인터넷","2017","8"
"119","2017-08-01",35.75228,"m","스포츠_레져","모바일","2017","8"
"120","2017-08-01",52.96777,"m","스포츠_레져","인터넷","2017","8"
"121","2017-08-01",27.03371,"f","식품","모바일","2017","8"
