"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준"
"1","2017","1","1Q","모바일","가구_인테리어","가구",105397,88608,"증가","winter",0,96.2,0,93.4,0
"2","2017","1","1Q","인터넷","가구_인테리어","가구",83204,69419,"증가","winter",0,96.2,0,93.4,0
"3","2017","1","1Q","모바일","디지털_가전","가전·전자·통신기기",294626,290466,"증가","winter",0,96.2,0,93.4,0
"4","2017","1","1Q","모바일","디지털_가전","자동차 및 자동차용품",45400,47672,"감소","winter",0,96.2,0,93.4,0
"5","2017","1","1Q","모바일","디지털_가전","컴퓨터 및 주변기기",133993,121786,"증가","winter",0,96.2,0,93.4,0
"6","2017","1","1Q","인터넷","디지털_가전","가전·전자·통신기기",307496,286904,"증가","winter",0,96.2,0,93.4,0
"7","2017","1","1Q","인터넷","디지털_가전","자동차 및 자동차용품",34744,35939,"감소","winter",0,96.2,0,93.4,0
"8","2017","1","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",288391,247639,"증가","winter",0,96.2,0,93.4,0
"9","2017","1","1Q","모바일","생활_건강","사무·문구",15959,13064,"증가","winter",0,96.2,0,93.4,0
"10","2017","1","1Q","모바일","생활_건강","생활용품",346900,338977,"증가","winter",0,96.2,0,93.4,0
"11","2017","1","1Q","모바일","생활_건강","서적",47379,47078,"증가","winter",0,96.2,0,93.4,0
"12","2017","1","1Q","모바일","생활_건강","애완용품",30247,22785,"증가","winter",0,96.2,0,93.4,0
"13","2017","1","1Q","인터넷","생활_건강","사무·문구",37233,32916,"증가","winter",0,96.2,0,93.4,0
"14","2017","1","1Q","인터넷","생활_건강","생활용품",245410,238524,"증가","winter",0,96.2,0,93.4,0
"15","2017","1","1Q","인터넷","생활_건강","서적",103851,101053,"증가","winter",0,96.2,0,93.4,0
