"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준","기기별_검색추이","성별","선호_성별_검색추이","선호연령대","선호연령대_성별","선호연령대_검색추이"
"1","2017","1","1Q","모바일","가구_인테리어","가구",105397,88608,"증가","winter",0,96.2,0,93.4,0,55.48694,"f",58.46869,"30","여자",83.04782
"2","2017","1","1Q","인터넷","가구_인테리어","가구",83204,69419,"증가","winter",0,96.2,0,93.4,0,8.534645,"m",52.36797,"30","남자",61.44523
"3","2017","1","1Q","모바일","디지털_가전","가전·전자·통신기기",294626,290466,"증가","winter",0,96.2,0,93.4,0,58.08067,"f",52.96893,"30","여자",64.09385
"4","2017","1","1Q","모바일","디지털_가전","자동차 및 자동차용품",45400,47672,"감소","winter",0,96.2,0,93.4,0,58.08067,"f",52.96893,"30","여자",64.09385
"5","2017","1","1Q","모바일","디지털_가전","컴퓨터 및 주변기기",133993,121786,"증가","winter",0,96.2,0,93.4,0,58.08067,"f",52.96893,"30","여자",64.09385
"6","2017","1","1Q","인터넷","디지털_가전","가전·전자·통신기기",307496,286904,"증가","winter",0,96.2,0,93.4,0,9.59809,"m",47.85197,"30","남자",14.76437
"7","2017","1","1Q","인터넷","디지털_가전","자동차 및 자동차용품",34744,35939,"감소","winter",0,96.2,0,93.4,0,9.59809,"m",47.85197,"30","남자",14.76437
"8","2017","1","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",288391,247639,"증가","winter",0,96.2,0,93.4,0,9.59809,"m",47.85197,"30","남자",14.76437
"9","2017","1","1Q","모바일","생활_건강","사무·문구",15959,13064,"증가","winter",0,96.2,0,93.4,0,50.09246,"m",54.48265,"30","남자",77.4128
"10","2017","1","1Q","모바일","생활_건강","생활용품",346900,338977,"증가","winter",0,96.2,0,93.4,0,50.09246,"m",54.48265,"30","남자",77.4128
"11","2017","1","1Q","모바일","생활_건강","서적",47379,47078,"증가","winter",0,96.2,0,93.4,0,50.09246,"m",54.48265,"30","남자",77.4128
"12","2017","1","1Q","모바일","생활_건강","애완용품",30247,22785,"증가","winter",0,96.2,0,93.4,0,50.09246,"m",54.48265,"30","남자",77.4128
"13","2017","1","1Q","인터넷","생활_건강","사무·문구",37233,32916,"증가","winter",0,96.2,0,93.4,0,8.68154,"m",65.34934,"30","남자",66.39456
"14","2017","1","1Q","인터넷","생활_건강","생활용품",245410,238524,"증가","winter",0,96.2,0,93.4,0,8.68154,"m",65.34934,"30","남자",66.39456
"15","2017","1","1Q","인터넷","생활_건강","서적",103851,101053,"증가","winter",0,96.2,0,93.4,0,8.68154,"m",65.34934,"30","남자",66.39456
"16","2017","1","1Q","인터넷","생활_건강","애완용품",22849,21402,"증가","winter",0,96.2,0,93.4,0,8.68154,"m",65.34934,"30","남자",66.39456
"17","2017","1","1Q","모바일","스포츠_레져","스포츠·레저용품",96891,92835,"증가","winter",0,96.2,0,93.4,0,42.56782,"m",38.1932,"30","남자",43.19735
"18","2017","1","1Q","인터넷","스포츠_레져","스포츠·레저용품",104489,102815,"증가","winter",0,96.2,0,93.4,0,4.980795,"m",41.14209,"30","남자",43.86103
"19","2017","1","1Q","모바일","식품","농축수산물",142230,183878,"감소","winter",0,96.2,0,93.4,0,29.155155,"f",31.65749,"30","여자",43.61543
"20","2017","1","1Q","모바일","식품","음·식료품",394322,438847,"감소","winter",0,96.2,0,93.4,0,29.155155,"f",31.65749,"30","여자",43.61543
"21","2017","1","1Q","인터넷","식품","농축수산물",116799,166634,"감소","winter",0,96.2,0,93.4,0,5.035375,"m",34.75503,"30","남자",40.46649
"22","2017","1","1Q","인터넷","식품","음·식료품",281528,339771,"감소","winter",0,96.2,0,93.4,0,5.035375,"m",34.75503,"30","남자",40.46649
"23","2017","1","1Q","모바일","여가_생활편의","e쿠폰서비스",74432,79775,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"24","2017","1","1Q","모바일","여가_생활편의","문화 및 레저서비스",70012,89033,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"25","2017","1","1Q","모바일","여가_생활편의","여행 및 교통서비스",611775,665582,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"26","2017","1","1Q","인터넷","여가_생활편의","e쿠폰서비스",14216,16725,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"27","2017","1","1Q","인터넷","여가_생활편의","문화 및 레저서비스",94242,115583,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"28","2017","1","1Q","인터넷","여가_생활편의","여행 및 교통서비스",603688,654904,"감소","winter",0,96.2,0,93.4,0,NA,NA,NA,NA,NA,NA
"29","2017","1","1Q","모바일","출산_육아","아동·유아용품",183143,185516,"감소","winter",0,96.2,0,93.4,0,52.65678,"f",53.44154,"30","여자",65.13141
"30","2017","1","1Q","인터넷","출산_육아","아동·유아용품",76647,71860,"증가","winter",0,96.2,0,93.4,0,5.13455,"f",62.01521,"30","여자",75.52837
"31","2017","1","1Q","모바일","패션잡화","가방",99665,89253,"증가","winter",0,96.2,0,93.4,0,68.96924,"f",72.40807,"30","여자",78.78659
"32","2017","1","1Q","모바일","패션잡화","신발",61269,48883,"증가","winter",0,96.2,0,93.4,0,68.96924,"f",72.40807,"30","여자",78.78659
"33","2017","1","1Q","모바일","패션잡화","의복",467093,488619,"감소","winter",0,96.2,0,93.4,0,68.96924,"f",72.40807,"30","여자",78.78659
"34","2017","1","1Q","모바일","패션잡화","패션용품 및 액세서리",86770,85570,"증가","winter",0,96.2,0,93.4,0,68.96924,"f",72.40807,"30","여자",78.78659
"35","2017","1","1Q","인터넷","패션잡화","가방",43978,34829,"증가","winter",0,96.2,0,93.4,0,7.644025,"m",74.09306,"30","남자",80.59452
"36","2017","1","1Q","인터넷","패션잡화","신발",42529,40082,"증가","winter",0,96.2,0,93.4,0,7.644025,"m",74.09306,"30","남자",80.59452
"37","2017","1","1Q","인터넷","패션잡화","의복",397422,412739,"감소","winter",0,96.2,0,93.4,0,7.644025,"m",74.09306,"30","남자",80.59452
"38","2017","1","1Q","인터넷","패션잡화","패션용품 및 액세서리",56669,54423,"증가","winter",0,96.2,0,93.4,0,7.644025,"m",74.09306,"30","남자",80.59452
"39","2017","1","1Q","모바일","화장품_미용","화장품",380746,332942,"증가","winter",0,96.2,0,93.4,0,58.16808,"f",63.05094,"30","여자",66.75102
"40","2017","1","1Q","인터넷","화장품_미용","화장품",273399,246120,"증가","winter",0,96.2,0,93.4,0,9.5423,"f",87.01374,"30","여자",80.26791
"41","2017","2","1Q","모바일","가구_인테리어","가구",122186,105397,"증가","winter",0,97.9,1.8,94.5,1.2,48.908715,"f",50.16908,"30","여자",69.57154
"42","2017","2","1Q","인터넷","가구_인테리어","가구",96989,83204,"증가","winter",0,97.9,1.8,94.5,1.2,6.585695,"m",39.51219,"30","남자",40.45466
"43","2017","2","1Q","모바일","디지털_가전","가전·전자·통신기기",298786,294626,"증가","winter",0,97.9,1.8,94.5,1.2,51.967105,"f",47.72281,"30","여자",56.10185
