"","상품군별","운영형태별","년월","매출액","년도","월"
"1","합계","계","2017_1","7310479","2017","1"
"2","합계","Online몰","2017_1","4712488","2017","1"
"3","합계","On/Offline몰","2017_1","2597990","2017","1"
"4","컴퓨터 및 주변기기","계","2017_1","422384","2017","1"
"5","컴퓨터 및 주변기기","Online몰","2017_1","350585","2017","1"
"6","컴퓨터 및 주변기기","On/Offline몰","2017_1","71800","2017","1"
"7","가전·전자·통신기기","계","2017_1","602122","2017","1"
"8","가전·전자·통신기기","Online몰","2017_1","465062","2017","1"
"9","가전·전자·통신기기","On/Offline몰","2017_1","137060","2017","1"
"10","서적","계","2017_1","151230","2017","1"
"11","서적","Online몰","2017_1","43716","2017","1"
"12","서적","On/Offline몰","2017_1","107514","2017","1"
"13","사무·문구","계","2017_1","53192","2017","1"
"14","사무·문구","Online몰","2017_1","37630","2017","1"
"15","사무·문구","On/Offline몰","2017_1","15562","2017","1"
"16","의복","계","2017_1","864515","2017","1"
"17","의복","Online몰","2017_1","628483","2017","1"
"18","의복","On/Offline몰","2017_1","236032","2017","1"
"19","신발","계","2017_1","103798","2017","1"
"20","신발","Online몰","2017_1","71652","2017","1"
"21","신발","On/Offline몰","2017_1","32146","2017","1"
"22","가방","계","2017_1","143643","2017","1"
"23","가방","Online몰","2017_1","94156","2017","1"
"24","가방","On/Offline몰","2017_1","49487","2017","1"
"25","패션용품 및 액세서리","계","2017_1","143439","2017","1"
"26","패션용품 및 액세서리","Online몰","2017_1","83229","2017","1"
"27","패션용품 및 액세서리","On/Offline몰","2017_1","60209","2017","1"
"28","스포츠·레저용품","계","2017_1","201380","2017","1"
"29","스포츠·레저용품","Online몰","2017_1","152348","2017","1"
"30","스포츠·레저용품","On/Offline몰","2017_1","49032","2017","1"
"31","화장품","계","2017_1","654145","2017","1"
"32","화장품","Online몰","2017_1","246020","2017","1"
"33","화장품","On/Offline몰","2017_1","408125","2017","1"
"34","아동·유아용품","계","2017_1","259790","2017","1"
"35","아동·유아용품","Online몰","2017_1","212378","2017","1"
"36","아동·유아용품","On/Offline몰","2017_1","47412","2017","1"
"37","음·식료품","계","2017_1","675851","2017","1"
"38","음·식료품","Online몰","2017_1","426900","2017","1"
"39","음·식료품","On/Offline몰","2017_1","248951","2017","1"
"40","농축수산물","계","2017_1","259029","2017","1"
"41","농축수산물","Online몰","2017_1","143965","2017","1"
"42","농축수산물","On/Offline몰","2017_1","115064","2017","1"
"43","생활용품","계","2017_1","592310","2017","1"
"44","생활용품","Online몰","2017_1","441862","2017","1"
"45","생활용품","On/Offline몰","2017_1","150448","2017","1"
"46","자동차 및 자동차용품","계","2017_1","80144","2017","1"
"47","자동차 및 자동차용품","Online몰","2017_1","72303","2017","1"
"48","자동차 및 자동차용품","On/Offline몰","2017_1","7841","2017","1"
"49","가구","계","2017_1","188602","2017","1"
"50","가구","Online몰","2017_1","123424","2017","1"
"51","가구","On/Offline몰","2017_1","65178","2017","1"
"52","애완용품","계","2017_1","53096","2017","1"
"53","애완용품","Online몰","2017_1","49161","2017","1"
"54","애완용품","On/Offline몰","2017_1","3935","2017","1"
"55","여행 및 교통서비스","계","2017_1","1215463","2017","1"
"56","여행 및 교통서비스","Online몰","2017_1","556367","2017","1"
"57","여행 및 교통서비스","On/Offline몰","2017_1","659096","2017","1"
"58","문화 및 레저서비스","계","2017_1","164254","2017","1"
"59","문화 및 레저서비스","Online몰","2017_1","85177","2017","1"
"60","문화 및 레저서비스","On/Offline몰","2017_1","79078","2017","1"
"61","e쿠폰서비스","계","2017_1","88648","2017","1"
"62","e쿠폰서비스","Online몰","2017_1","86470","2017","1"
"63","e쿠폰서비스","On/Offline몰","2017_1","2178","2017","1"
"64","음식서비스","계","2017_1","183355","2017","1"
"65","음식서비스","Online몰","2017_1","155733","2017","1"
"66","음식서비스","On/Offline몰","2017_1","27623","2017","1"
"67","기타서비스","계","2017_1","65597","2017","1"
"68","기타서비스","Online몰","2017_1","61247","2017","1"
"69","기타서비스","On/Offline몰","2017_1","4350","2017","1"
"70","기타","계","2017_1","144492","2017","1"
"71","기타","Online몰","2017_1","124622","2017","1"
"72","기타","On/Offline몰","2017_1","19870","2017","1"
"73","합계","계","2017_2","7148849","2017","2"
"74","합계","Online몰","2017_2","4619215","2017","2"
"75","합계","On/Offline몰","2017_2","2529634","2017","2"
"76","컴퓨터 및 주변기기","계","2017_2","475342","2017","2"
"77","컴퓨터 및 주변기기","Online몰","2017_2","395409","2017","2"
"78","컴퓨터 및 주변기기","On/Offline몰","2017_2","79933","2017","2"
"79","가전·전자·통신기기","계","2017_2","626874","2017","2"
"80","가전·전자·통신기기","Online몰","2017_2","487668","2017","2"
"81","가전·전자·통신기기","On/Offline몰","2017_2","139206","2017","2"
"82","서적","계","2017_2","154330","2017","2"
"83","서적","Online몰","2017_2","45396","2017","2"
"84","서적","On/Offline몰","2017_2","108933","2017","2"
"85","사무·문구","계","2017_2","60403","2017","2"
"86","사무·문구","Online몰","2017_2","44824","2017","2"
"87","사무·문구","On/Offline몰","2017_2","15579","2017","2"
"88","의복","계","2017_2","827672","2017","2"
"89","의복","Online몰","2017_2","614162","2017","2"
"90","의복","On/Offline몰","2017_2","213510","2017","2"
"91","신발","계","2017_2","118631","2017","2"
"92","신발","Online몰","2017_2","77835","2017","2"
"93","신발","On/Offline몰","2017_2","40796","2017","2"
"94","가방","계","2017_2","163204","2017","2"
"95","가방","Online몰","2017_2","108446","2017","2"
"96","가방","On/Offline몰","2017_2","54758","2017","2"
"97","패션용품 및 액세서리","계","2017_2","146885","2017","2"
"98","패션용품 및 액세서리","Online몰","2017_2","84476","2017","2"
"99","패션용품 및 액세서리","On/Offline몰","2017_2","62409","2017","2"
"100","스포츠·레저용품","계","2017_2","207110","2017","2"
"101","스포츠·레저용품","Online몰","2017_2","162618","2017","2"
"102","스포츠·레저용품","On/Offline몰","2017_2","44492","2017","2"
"103","화장품","계","2017_2","729228","2017","2"
"104","화장품","Online몰","2017_2","242894","2017","2"
"105","화장품","On/Offline몰","2017_2","486334","2017","2"
"106","아동·유아용품","계","2017_2","262204","2017","2"
"107","아동·유아용품","Online몰","2017_2","213530","2017","2"
"108","아동·유아용품","On/Offline몰","2017_2","48673","2017","2"
"109","음·식료품","계","2017_2","573082","2017","2"
"110","음·식료품","Online몰","2017_2","361590","2017","2"
"111","음·식료품","On/Offline몰","2017_2","211492","2017","2"
"112","농축수산물","계","2017_2","167546","2017","2"
"113","농축수산물","Online몰","2017_2","91813","2017","2"
"114","농축수산물","On/Offline몰","2017_2","75732","2017","2"
"115","생활용품","계","2017_2","607119","2017","2"
"116","생활용품","Online몰","2017_2","462621","2017","2"
"117","생활용품","On/Offline몰","2017_2","144497","2017","2"
"118","자동차 및 자동차용품","계","2017_2","76677","2017","2"
"119","자동차 및 자동차용품","Online몰","2017_2","70582","2017","2"
"120","자동차 및 자동차용품","On/Offline몰","2017_2","6095","2017","2"
"121","가구","계","2017_2","219176","2017","2"
"122","가구","Online몰","2017_2","146560","2017","2"
"123","가구","On/Offline몰","2017_2","72616","2017","2"
"124","애완용품","계","2017_2","62005","2017","2"
"125","애완용품","Online몰","2017_2","58302","2017","2"
"126","애완용품","On/Offline몰","2017_2","3703","2017","2"
"127","여행 및 교통서비스","계","2017_2","1110440","2017","2"
"128","여행 및 교통서비스","Online몰","2017_2","485877","2017","2"
