"","상품군별","범위별","년월","매출액","년도","월"
"1","합계","계","2020_12","15994604","2020","12"
"2","합계","종합몰","2020_12","10744975","2020","12"
"3","합계","전문몰","2020_12","5249629","2020","12"
"4","컴퓨터 및 주변기기","계","2020_12","814215","2020","12"
"5","컴퓨터 및 주변기기","종합몰","2020_12","494222","2020","12"
"6","컴퓨터 및 주변기기","전문몰","2020_12","319993","2020","12"
"7","가전·전자·통신기기","계","2020_12","1946533","2020","12"
"8","가전·전자·통신기기","종합몰","2020_12","1573061","2020","12"
"9","가전·전자·통신기기","전문몰","2020_12","373472","2020","12"
"10","서적","계","2020_12","268164","2020","12"
"11","서적","종합몰","2020_12","97517","2020","12"
"12","서적","전문몰","2020_12","170647","2020","12"
"13","사무·문구","계","2020_12","133944","2020","12"
"14","사무·문구","종합몰","2020_12","100889","2020","12"
"15","사무·문구","전문몰","2020_12","33055","2020","12"
"16","의복","계","2020_12","1562929","2020","12"
"17","의복","종합몰","2020_12","799198","2020","12"
"18","의복","전문몰","2020_12","763731","2020","12"
"19","신발","계","2020_12","221326","2020","12"
"20","신발","종합몰","2020_12","141925","2020","12"
"21","신발","전문몰","2020_12","79401","2020","12"
"22","가방","계","2020_12","242724","2020","12"
"23","가방","종합몰","2020_12","216129","2020","12"
"24","가방","전문몰","2020_12","26595","2020","12"
"25","패션용품 및 액세서리","계","2020_12","211973","2020","12"
"26","패션용품 및 액세서리","종합몰","2020_12","160469","2020","12"
"27","패션용품 및 액세서리","전문몰","2020_12","51504","2020","12"
"28","스포츠·레저용품","계","2020_12","476968","2020","12"
"29","스포츠·레저용품","종합몰","2020_12","410353","2020","12"
"30","스포츠·레저용품","전문몰","2020_12","66615","2020","12"
"31","화장품","계","2020_12","1077011","2020","12"
"32","화장품","종합몰","2020_12","974249","2020","12"
"33","화장품","전문몰","2020_12","102762","2020","12"
"34","아동·유아용품","계","2020_12","535634","2020","12"
"35","아동·유아용품","종합몰","2020_12","475217","2020","12"
"36","아동·유아용품","전문몰","2020_12","60417","2020","12"
"37","음·식료품","계","2020_12","2015716","2020","12"
"38","음·식료품","종합몰","2020_12","1716460","2020","12"
"39","음·식료품","전문몰","2020_12","299256","2020","12"
"40","농축수산물","계","2020_12","638259","2020","12"
"41","농축수산물","종합몰","2020_12","544023","2020","12"
"42","농축수산물","전문몰","2020_12","94236","2020","12"
"43","생활용품","계","2020_12","1399381","2020","12"
"44","생활용품","종합몰","2020_12","1254212","2020","12"
"45","생활용품","전문몰","2020_12","145169","2020","12"
"46","자동차 및 자동차용품","계","2020_12","200970","2020","12"
"47","자동차 및 자동차용품","종합몰","2020_12","186719","2020","12"
"48","자동차 및 자동차용품","전문몰","2020_12","14251","2020","12"
"49","가구","계","2020_12","491319","2020","12"
"50","가구","종합몰","2020_12","437270","2020","12"
"51","가구","전문몰","2020_12","54049","2020","12"
"52","애완용품","계","2020_12","107736","2020","12"
"53","애완용품","종합몰","2020_12","94894","2020","12"
"54","애완용품","전문몰","2020_12","12842","2020","12"
"55","여행 및 교통서비스","계","2020_12","470803","2020","12"
"56","여행 및 교통서비스","종합몰","2020_12","55426","2020","12"
"57","여행 및 교통서비스","전문몰","2020_12","415377","2020","12"
"58","문화 및 레저서비스","계","2020_12","10220","2020","12"
"59","문화 및 레저서비스","종합몰","2020_12","9190","2020","12"
"60","문화 및 레저서비스","전문몰","2020_12","1030","2020","12"
"61","e쿠폰서비스","계","2020_12","423711","2020","12"
"62","e쿠폰서비스","종합몰","2020_12","411670","2020","12"
"63","e쿠폰서비스","전문몰","2020_12","12041","2020","12"
"64","음식서비스","계","2020_12","2198842","2020","12"
"65","음식서비스","종합몰","2020_12","180107","2020","12"
"66","음식서비스","전문몰","2020_12","2018735","2020","12"
"67","기타서비스","계","2020_12","128239","2020","12"
"68","기타서비스","종합몰","2020_12","82036","2020","12"
"69","기타서비스","전문몰","2020_12","46203","2020","12"
"70","기타","계","2020_12","417988","2020","12"
"71","기타","종합몰","2020_12","329739","2020","12"
"72","기타","전문몰","2020_12","88249","2020","12"
"73","합계","계","2020_11","15065463","2020","11"
"74","합계","종합몰","2020_11","10241972","2020","11"
"75","합계","전문몰","2020_11","4823491","2020","11"
"76","컴퓨터 및 주변기기","계","2020_11","666210","2020","11"
"77","컴퓨터 및 주변기기","종합몰","2020_11","431008","2020","11"
"78","컴퓨터 및 주변기기","전문몰","2020_11","235202","2020","11"
"79","가전·전자·통신기기","계","2020_11","1961797","2020","11"
"80","가전·전자·통신기기","종합몰","2020_11","1578374","2020","11"
"81","가전·전자·통신기기","전문몰","2020_11","383423","2020","11"
"82","서적","계","2020_11","197695","2020","11"
"83","서적","종합몰","2020_11","68649","2020","11"
"84","서적","전문몰","2020_11","129046","2020","11"
"85","사무·문구","계","2020_11","104789","2020","11"
"86","사무·문구","종합몰","2020_11","78631","2020","11"
"87","사무·문구","전문몰","2020_11","26158","2020","11"
"88","의복","계","2020_11","1815980","2020","11"
"89","의복","종합몰","2020_11","941167","2020","11"
"90","의복","전문몰","2020_11","874813","2020","11"
"91","신발","계","2020_11","244138","2020","11"
"92","신발","종합몰","2020_11","162024","2020","11"
"93","신발","전문몰","2020_11","82114","2020","11"
