"","period","ratio","group","카테고리명","성별","검색기기","년도","월"
"1","2017-01-01",4.99332,10,"가구_인테리어","남자","mobile","2017","01"
"2","2017-01-01",35.48101,20,"가구_인테리어","남자","mobile","2017","01"
"3","2017-01-01",73.65297,30,"가구_인테리어","남자","mobile","2017","01"
"4","2017-01-01",30.31785,40,"가구_인테리어","남자","mobile","2017","01"
"5","2017-01-01",5.11314,50,"가구_인테리어","남자","mobile","2017","01"
"6","2017-01-01",0.686039999999999,60,"가구_인테리어","남자","mobile","2017","01"
"7","2017-02-01",4.97851,10,"가구_인테리어","남자","mobile","2017","02"
"8","2017-02-01",35.97389,20,"가구_인테리어","남자","mobile","2017","02"
"9","2017-02-01",67.31151,30,"가구_인테리어","남자","mobile","2017","02"
"10","2017-02-01",25.05651,40,"가구_인테리어","남자","mobile","2017","02"
"11","2017-02-01",3.00982,50,"가구_인테리어","남자","mobile","2017","02"
"12","2017-02-01",0.0161800000000003,60,"가구_인테리어","남자","mobile","2017","02"
"13","2017-03-01",4.30307,10,"가구_인테리어","남자","mobile","2017","03"
"14","2017-03-01",38.53092,20,"가구_인테리어","남자","mobile","2017","03"
"15","2017-03-01",86.29169,30,"가구_인테리어","남자","mobile","2017","03"
"16","2017-03-01",42.32465,40,"가구_인테리어","남자","mobile","2017","03"
"17","2017-03-01",9.53021,50,"가구_인테리어","남자","mobile","2017","03"
"18","2017-03-01",1.79593,60,"가구_인테리어","남자","mobile","2017","03"
"19","2017-04-01",3.48487,10,"가구_인테리어","남자","mobile","2017","04"
"20","2017-04-01",31.87796,20,"가구_인테리어","남자","mobile","2017","04"
"21","2017-04-01",76.13614,30,"가구_인테리어","남자","mobile","2017","04"
"22","2017-04-01",37.28003,40,"가구_인테리어","남자","mobile","2017","04"
"23","2017-04-01",8.78919,50,"가구_인테리어","남자","mobile","2017","04"
"24","2017-04-01",1.95601,60,"가구_인테리어","남자","mobile","2017","04"
"25","2017-05-01",3.53502,10,"가구_인테리어","남자","mobile","2017","05"
"26","2017-05-01",31.44491,20,"가구_인테리어","남자","mobile","2017","05"
"27","2017-05-01",70.99142,30,"가구_인테리어","남자","mobile","2017","05"
"28","2017-05-01",34.12368,40,"가구_인테리어","남자","mobile","2017","05"
"29","2017-05-01",7.94589,50,"가구_인테리어","남자","mobile","2017","05"
"30","2017-05-01",1.65634,60,"가구_인테리어","남자","mobile","2017","05"
