"","년도","월","검색기기","카테고리명","기기별_검색추이"
"1","2017","01","모바일","가구_인테리어",55.48694
"2","2017","01","인터넷","가구_인테리어",8.534645
"3","2017","01","모바일","디지털_가전",58.08067
"4","2017","01","인터넷","디지털_가전",9.59809
"5","2017","01","모바일","생활_건강",50.09246
"6","2017","01","인터넷","생활_건강",8.68154
"7","2017","01","모바일","스포츠_레져",42.56782
"8","2017","01","인터넷","스포츠_레져",4.980795
"9","2017","01","모바일","식품",29.155155
"10","2017","01","인터넷","식품",5.035375
"11","2017","01","모바일","출산_육아",52.65678
"12","2017","01","인터넷","출산_육아",5.13455
"13","2017","01","모바일","패션잡화",68.96924
"14","2017","01","인터넷","패션잡화",7.644025
"15","2017","01","모바일","화장품_미용",58.16808
"16","2017","01","인터넷","화장품_미용",9.5423
"17","2017","02","모바일","가구_인테리어",48.908715
"18","2017","02","인터넷","가구_인테리어",6.585695
"19","2017","02","모바일","디지털_가전",51.967105
"20","2017","02","인터넷","디지털_가전",7.930485
"21","2017","02","모바일","생활_건강",43.47828
"22","2017","02","인터넷","생활_건강",7.1977
"23","2017","02","모바일","스포츠_레져",32.836535
"24","2017","02","인터넷","스포츠_레져",3.51149
"25","2017","02","모바일","식품",34.1913
"26","2017","02","인터넷","식품",5.738575
"27","2017","02","모바일","출산_육아",47.454195
"28","2017","02","인터넷","출산_육아",4.253475
"29","2017","02","모바일","패션잡화",65.79742
"30","2017","02","인터넷","패션잡화",6.500685
"31","2017","02","모바일","화장품_미용",56.201145
"32","2017","02","인터넷","화장품_미용",8.320455
"33","2017","03","모바일","가구_인테리어",63.78638
"34","2017","03","인터넷","가구_인테리어",9.28758
"35","2017","03","모바일","디지털_가전",55.54302
"36","2017","03","인터넷","디지털_가전",9.329255
"37","2017","03","모바일","생활_건강",46.690795
"38","2017","03","인터넷","생활_건강",7.488845
"39","2017","03","모바일","스포츠_레져",42.125155
"40","2017","03","인터넷","스포츠_레져",5.05407
"41","2017","03","모바일","식품",27.98232
"42","2017","03","인터넷","식품",4.415185
"43","2017","03","모바일","출산_육아",48.79831
"44","2017","03","인터넷","출산_육아",4.694635
"45","2017","03","모바일","패션잡화",76.895085
"46","2017","03","인터넷","패션잡화",7.866065
"47","2017","03","모바일","화장품_미용",56.563045
"48","2017","03","인터넷","화장품_미용",8.9614
"49","2017","04","모바일","가구_인테리어",55.620695
"50","2017","04","인터넷","가구_인테리어",9.093225
"51","2017","04","모바일","디지털_가전",56.946
"52","2017","04","인터넷","디지털_가전",9.965015
"53","2017","04","모바일","생활_건강",59.12793
"54","2017","04","인터넷","생활_건강",9.482525
"55","2017","04","모바일","스포츠_레져",44.018885
"56","2017","04","인터넷","스포츠_레져",5.311385
"57","2017","04","모바일","식품",31.468885
"58","2017","04","인터넷","식품",3.97488
"59","2017","04","모바일","출산_육아",43.928805
"60","2017","04","인터넷","출산_육아",3.971805
"61","2017","04","모바일","패션잡화",67.613035
"62","2017","04","인터넷","패션잡화",7.13824
"63","2017","04","모바일","화장품_미용",59.035885
"64","2017","04","인터넷","화장품_미용",8.97169
"65","2017","05","모바일","가구_인테리어",51.744995
"66","2017","05","인터넷","가구_인테리어",8.78928
"67","2017","05","모바일","디지털_가전",57.152545
"68","2017","05","인터넷","디지털_가전",10.43242
"69","2017","05","모바일","생활_건강",50.21419
"70","2017","05","인터넷","생활_건강",7.58468
"71","2017","05","모바일","스포츠_레져",47.362015
"72","2017","05","인터넷","스포츠_레져",5.621445
"73","2017","05","모바일","식품",30.017405
"74","2017","05","인터넷","식품",4.54396
"75","2017","05","모바일","출산_육아",42.47349
"76","2017","05","인터넷","출산_육아",4.29892
"77","2017","05","모바일","패션잡화",63.07074
"78","2017","05","인터넷","패션잡화",6.797355
"79","2017","05","모바일","화장품_미용",56.26946
"80","2017","05","인터넷","화장품_미용",8.331895
"81","2017","06","모바일","가구_인테리어",44.743385
"82","2017","06","인터넷","가구_인테리어",7.39157
"83","2017","06","모바일","디지털_가전",49.521435
"84","2017","06","인터넷","디지털_가전",8.407795
"85","2017","06","모바일","생활_건강",40.217805
"86","2017","06","인터넷","생활_건강",6.90329
"87","2017","06","모바일","스포츠_레져",49.088685
"88","2017","06","인터넷","스포츠_레져",5.741785
"89","2017","06","모바일","식품",23.94341
"90","2017","06","인터넷","식품",4.068735
"91","2017","06","모바일","출산_육아",36.92767
"92","2017","06","인터넷","출산_육아",3.581205
