"","period","ratio","group","카테고리명","검색기기","년도","월"
"1","2017-01-01",58.46869,"f","가구_인테리어","mobile","2017","1"
"2","2017-01-01",16.70126,"m","가구_인테리어","mobile","2017","1"
"3","2017-02-01",50.16908,"f","가구_인테리어","mobile","2017","2"
"4","2017-02-01",15.15636,"m","가구_인테리어","mobile","2017","2"
"5","2017-03-01",63.69874,"f","가구_인테리어","mobile","2017","3"
"6","2017-03-01",20.31757,"m","가구_인테리어","mobile","2017","3"
"7","2017-04-01",55.49322,"f","가구_인테리어","mobile","2017","4"
"8","2017-04-01",17.73282,"m","가구_인테리어","mobile","2017","4"
"9","2017-05-01",51.17599,"f","가구_인테리어","mobile","2017","5"
"10","2017-05-01",16.64046,"m","가구_인테리어","mobile","2017","5"
"11","2017-06-01",45.5117,"f","가구_인테리어","mobile","2017","6"
"12","2017-06-01",13.98794,"m","가구_인테리어","mobile","2017","6"
"13","2017-07-01",40.08591,"f","가구_인테리어","mobile","2017","7"
"14","2017-07-01",14.20226,"m","가구_인테리어","mobile","2017","7"
"15","2017-08-01",38.71998,"f","가구_인테리어","mobile","2017","8"
"16","2017-08-01",13.72458,"m","가구_인테리어","mobile","2017","8"
"17","2017-09-01",37.21146,"f","가구_인테리어","mobile","2017","9"
"18","2017-09-01",12.91936,"m","가구_인테리어","mobile","2017","9"
"19","2017-10-01",49.22024,"f","가구_인테리어","mobile","2017","10"
"20","2017-10-01",16.91779,"m","가구_인테리어","mobile","2017","10"
"21","2017-11-01",42.78351,"f","가구_인테리어","mobile","2017","11"
"22","2017-11-01",15.36986,"m","가구_인테리어","mobile","2017","11"
"23","2017-12-01",51.28601,"f","가구_인테리어","mobile","2017","12"
"24","2017-12-01",17.75196,"m","가구_인테리어","mobile","2017","12"
"25","2017-01-01",52.96893,"f","디지털_가전","mobile","2017","1"
"26","2017-01-01",58.60145,"m","디지털_가전","mobile","2017","1"
"27","2017-02-01",47.72281,"f","디지털_가전","mobile","2017","2"
"28","2017-02-01",52.12762,"m","디지털_가전","mobile","2017","2"
"29","2017-03-01",49.89777,"f","디지털_가전","mobile","2017","3"
"30","2017-03-01",56.7429,"m","디지털_가전","mobile","2017","3"
"31","2017-04-01",52.68851,"f","디지털_가전","mobile","2017","4"
